seed,region,bracket_name,cbbpy_name,espn_id,first_four
1,East,Duke,Duke,150,
16,East,Siena,Siena,2561,
8,East,Ohio St.,Ohio State,194,
9,East,TCU,TCU,2628,
5,East,St. John's,St. John's,2599,
12,East,Northern Iowa,Northern Iowa,2460,
4,East,Kansas,Kansas,2305,
13,East,Cal Baptist,California Baptist,2856,
6,East,Louisville,Louisville,97,
11,East,South Florida,South Florida,58,
3,East,Michigan St.,Michigan State,127,
14,East,North Dakota St.,North Dakota State,2449,
7,East,UCLA,UCLA,26,
10,East,UCF,UCF,2116,
2,East,UConn,UConn,41,
15,East,Furman,Furman,231,
1,South,Florida,Florida,57,
16,South,Lehigh,Lehigh,2329,FF
16,South,Prairie View,Prairie View A&M,2504,FF
8,South,Clemson,Clemson,228,
9,South,Iowa,Iowa,2294,
5,South,Vanderbilt,Vanderbilt,238,
12,South,McNeese,McNeese,2377,
4,South,Nebraska,Nebraska,158,
13,South,Troy,Troy,2653,
6,South,North Carolina,North Carolina,153,
11,South,VCU,VCU,2670,
3,South,Illinois,Illinois,356,
14,South,Penn,Pennsylvania,219,
7,South,Saint Mary's,Saint Mary's,2608,
10,South,Texas A&M,Texas A&M,245,
2,South,Houston,Houston,248,
15,South,Idaho,Idaho,70,
1,West,Arizona,Arizona,12,
16,West,Long Island,Long Island University,112358,
8,West,Villanova,Villanova,222,
9,West,Utah St.,Utah State,328,
5,West,Wisconsin,Wisconsin,275,
12,West,High Point,High Point,2272,
4,West,Arkansas,Arkansas,8,
13,West,Hawaii,Hawai'i,62,
6,West,BYU,BYU,252,
11,West,NC State,NC State,152,FF
11,West,Texas,Texas,251,FF
3,West,Gonzaga,Gonzaga,2250,
14,West,Kennesaw St.,Kennesaw State,338,
7,West,Miami (FL),Miami,2390,
10,West,Missouri,Missouri,142,
2,West,Purdue,Purdue,2509,
15,West,Queens (N.C.),Queens University,2511,
1,Midwest,Michigan,Michigan,130,
16,Midwest,Howard,Howard,47,FF
16,Midwest,UMBC,UMBC,2378,FF
8,Midwest,Georgia,Georgia,61,
9,Midwest,Saint Louis,Saint Louis,139,
5,Midwest,Texas Tech,Texas Tech,2641,
12,Midwest,Akron,Akron,2006,
4,Midwest,Alabama,Alabama,333,
13,Midwest,Hofstra,Hofstra,2275,
6,Midwest,Tennessee,Tennessee,2633,
11,Midwest,SMU,SMU,2567,FF
11,Midwest,Miami Ohio,Miami (OH),193,FF
3,Midwest,Virginia,Virginia,258,
14,Midwest,Wright St.,Wright State,2750,
7,Midwest,Kentucky,Kentucky,96,
10,Midwest,Santa Clara,Santa Clara,2541,
2,Midwest,Iowa St.,Iowa State,66,
15,Midwest,Tennessee St.,Tennessee State,2634,
